Timestamp,ID(Hex),ID(Dec),Data,Message Name,ANY_FAULT_value,ANY_FAULT_unit,ANY_MC_FAULT_value,ANY_MC_FAULT_unit,APPS0_value,APPS0_unit,APPS1_value,APPS1_unit,APPS_BRAKE_AND_ACCEL_value,APPS_BRAKE_AND_ACCEL_unit,APPS_PEDAL_DISCONNECTED_value,APPS_PEDAL_DISCONNECTED_unit,APPS_PEDAL_IMPLAUSIBILITY_value,APPS_PEDAL_IMPLAUSIBILITY_unit,APPS_Pct_value,APPS_Pct_unit,BMS_Current_value,BMS_Current_unit,BMS_Max_Cell_Temp_value,BMS_Max_Cell_Temp_unit,BMS_Max_Cell_Volt_value,BMS_Max_Cell_Volt_unit,BMS_Min_Cell_Temp_value,BMS_Min_Cell_Temp_unit,BMS_Min_Cell_Volt_value,BMS_Min_Cell_Volt_unit,BMS_Pow_Lim_value,BMS_Pow_Lim_unit,BMS_SOC_value,BMS_SOC_unit,BPS_LOW_PRESSURE_value,BPS_LOW_PRESSURE_unit,BPS_Raw_value,BPS_Raw_unit,Batt_SOC_value,Batt_SOC_unit,Brake_Press_Bool_value,Brake_Press_Bool_unit,COOLANT_OVER_TEMP_value,COOLANT_OVER_TEMP_unit,CRITICAL_FAULT_value,CRITICAL_FAULT_unit,D1_Phase_A_Current_value,D1_Phase_A_Current_unit,D1_Post_Fault_Lo_value,D1_Post_Fault_Lo_unit,D2_Phase_B_Current_value,D2_Phase_B_Current_unit,D2_Post_Fault_Hi_value,D2_Post_Fault_Hi_unit,D3_Phase_C_Current_value,D3_Phase_C_Current_unit,D3_Run_Fault_Lo_value,D3_Run_Fault_Lo_unit,D4_DC_Bus_Current_value,D4_DC_Bus_Current_unit,D4_Run_Fault_Hi_value,D4_Run_Fault_Hi_unit,Direction_Command_value,Direction_Command_unit,Drive_Mode_value,Drive_Mode_unit,ECU_FAULT_value,ECU_FAULT_unit,Fast_DC_Bus_Voltage_value,Fast_DC_Bus_Voltage_unit,Fast_Motor_Speed_value,Fast_Motor_Speed_unit,Fast_Torque_Command_value,Fast_Torque_Command_unit,Fast_Torque_Feedback_value,Fast_Torque_Feedback_unit,Fault32_MotorOvrSpd_value,Fault32_MotorOvrSpd_unit,Fault33_OvrCurr_value,Fault33_OvrCurr_unit,Fault34_OvrVolt_value,Fault34_OvrVolt_unit,Fault35_InvOvrTemp_value,Fault35_InvOvrTemp_unit,Fault36_AccInputShorted_value,Fault36_AccInputShorted_unit,Fault37_AccInputOpn_value,Fault37_AccInputOpn_unit,Fault38_DirectionCommand_value,Fault38_DirectionCommand_unit,Fault39_InvResponseTimeOut_value,Fault39_InvResponseTimeOut_unit,Fault40_HW_Gate_DeSat_value,Fault40_HW_Gate_DeSat_unit,Fault41_HardwareOvrCurrent_value,Fault41_HardwareOvrCurrent_unit,Fault42_UnderVolt_value,Fault42_UnderVolt_unit,Fault43_CANCmdMsgLost_value,Fault43_CANCmdMsgLost_unit,Fault44_MotorOvrTemp_value,Fault44_MotorOvrTemp_unit,Fault48_BrakeInputShorted_value,Fault48_BrakeInputShorted_unit,Fault49_BrakeInputOpn_value,Fault49_BrakeInputOpn_unit,Fault50_ModuleA_OvrTemp_value,Fault50_ModuleA_OvrTemp_unit,Fault51_ModuleB_OvrTemp_value,Fault51_ModuleB_OvrTemp_unit,Fault52_ModuleC_OvrTemp_value,Fault52_ModuleC_OvrTemp_unit,Fault53_PCB_OvrTemp_value,Fault53_PCB_OvrTemp_unit,Fault54_GateDriveBoard1_OvrTemp_value,Fault54_GateDriveBoard1_OvrTemp_unit,Fault55_GateDriveBoard2_OvrTemp_value,Fault55_GateDriveBoard2_OvrTemp_unit,Fault56_GateDriveBoard3_OvrTemp_value,Fault56_GateDriveBoard3_OvrTemp_unit,Fault57_CurrentSensor_value,Fault57_CurrentSensor_unit,Fault59_HardwareDCBus_OvrVolt_value,Fault59_HardwareDCBus_OvrVolt_unit,Fault62_Resolver_NotConn_value,Fault62_Resolver_NotConn_unit,InitFinished_value,InitFinished_unit,Inverter_Discharge_value,Inverter_Discharge_unit,Inverter_Enable_value,Inverter_Enable_unit,LV_Voltage_ADC_value,LV_Voltage_ADC_unit,OVER_CURRENT_value,OVER_CURRENT_unit,OVER_POWER_value,OVER_POWER_unit,PowerDraw_kW_value,PowerDraw_kW_unit,PrechargeComplete_value,PrechargeComplete_unit,Prog_Button_1_value,Prog_Button_1_unit,Prog_Button_2_value,Prog_Button_2_unit,R2D_Active_value,R2D_Active_unit,R2D_Button_value,R2D_Button_unit,Regen_Enabled_value,Regen_Enabled_unit,RollingCounter_value,RollingCounter_unit,Speed_Command_value,Speed_Command_unit,Speed_Mode_Enable_value,Speed_Mode_Enable_unit,Torque_Cmd_value,Torque_Cmd_unit,Torque_Command_value,Torque_Command_unit,Torque_Limit_Command_value,Torque_Limit_Command_unit,Water1_Temp_C_value,Water1_Temp_C_unit,Water2_Temp_C_value,Water2_Temp_C_unit,Water3_Temp_C_value,Water3_Temp_C_unit,APPS_Info_present,BMS_Info_present,ECU_FAULTS_present,Internal_States_present,M166_Current_Info_present,M171_Fault_Codes_present,M176_Fast_Info_present,M192_Command_Message_present,MC_FAULTS_present,Sensors_Info_present
2025-06-07 19:58:54.230,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Bit,0.0,Bit,,,,,,,,,,,,,,,,,,,,,0.0,Bits,0.0,rpm,0.0,Bit,,,0.0,Nm,0.0,Nm,,,,,,,0,0,0,0,0,0,0,1,0,0
2025-06-07 19:58:54.237,4,4,FC 0F 67 0A 00 00 00 00,APPS_Info,,,,,4092.0,,2663.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
2025-06-07 19:58:54.246,5,5,90 01 00 00 00 06 00 00,Sensors_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,1
2025-06-07 19:58:54.256,6,6,00 00 83 00 52 03 00 00,Internal_States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,131.0,,,,,,0.0,,1.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0
2025-06-07 19:58:54.270,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0
2025-06-07 19:58:54.297,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0
2025-06-07 19:58:54.304,B0,176,00 00 00 00 00 00 8D 0D,M176_Fast_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.9,V,0.0,rpm,0.0,Nm,0.0,Nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0
2025-06-07 19:58:54.312,B0,176,00 00 00 00 00 00 89 0D,M176_Fast_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.5,V,0.0,rpm,0.0,Nm,0.0,Nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0
2025-06-07 19:58:54.323,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Bit,0.0,Bit,,,,,,,,,,,,,,,,,,,,,0.0,Bits,0.0,rpm,0.0,Bit,,,0.0,Nm,0.0,Nm,,,,,,,0,0,0,0,0,0,0,1,0,0
2025-06-07 19:58:54.329,4,4,FD 0F 66 0A 00 00 00 00,APPS_Info,,,,,4093.0,,2662.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
2025-06-07 19:58:54.339,5,5,8F 01 00 00 00 06 00 00,Sensors_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,1
2025-06-07 19:58:54.348,6,6,00 00 83 00 52 03 00 00,Internal_States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,131.0,,,,,,0.0,,1.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0
2025-06-07 19:58:54.359,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0
2025-06-07 19:58:54.387,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0
2025-06-07 19:58:54.395,B0,176,00 00 00 00 00 00 8C 0D,M176_Fast_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.8,V,0.0,rpm,0.0,Nm,0.0,Nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0
2025-06-07 19:58:54.401,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0
2025-06-07 19:58:54.409,A6,166,00 00 02 00 03 00 00 00,M166_Current_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,A,,,0.2,A,,,0.3,A,,,0.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
2025-06-07 19:58:54.418,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Bit,0.0,Bit,,,,,,,,,,,,,,,,,,,,,0.0,Bits,0.0,rpm,0.0,Bit,,,0.0,Nm,0.0,Nm,,,,,,,0,0,0,0,0,0,0,1,0,0
2025-06-07 19:58:54.424,4,4,FD 0F 67 0A 00 00 00 00,APPS_Info,,,,,4093.0,,2663.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
2025-06-07 19:58:54.433,5,5,8F 01 00 00 00 06 00 00,Sensors_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,1
2025-06-07 19:58:54.440,B0,176,00 00 00 00 00 00 8E 0D,M176_Fast_Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0,V,0.0,rpm,0.0,Nm,0.0,Nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0
2025-06-07 19:58:54.451,6,6,00 00 83 00 52 03 00 00,Internal_States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,131.0,,,,,,0.0,,1.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0
2025-06-07 19:58:54.464,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0
